pH,DO
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8,8.0167
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2917,8.675
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
8.2833,8.925
