x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
-0.466406,0.00513746,-0.304565,0.0715055,-0.188366,0.084294,0.345444,0.0468104,0.385574,0.0463694,0.373226,-0.0389609,0.32097,-0.036315,0.00522565,-0.0621125,-0.198068,-0.0599076,-0.273035,-0.0568207
-0.479635,0.0251249,-0.276317,0.0657269,-0.175378,0.0746511,0.347981,0.0500296,0.382705,0.0549936,0.367293,-0.0346161,0.322705,-0.031738,0.00146617,-0.0704145,-0.203361,-0.0737728,-0.287458,-0.0599846
-0.477561,0.00489143,-0.299864,0.0745832,-0.184923,0.0938434,0.337046,0.0485007,0.378372,0.0527433,0.374686,-0.0424875,0.324308,-0.0396764,0.0105846,-0.0715972,-0.192857,-0.0661391,-0.269793,-0.0546618
-0.488758,0.0132477,-0.267255,0.0772403,-0.185679,0.0887998,0.336569,0.0502014,0.376545,0.0551538,0.378359,-0.0370072,0.322598,-0.0375092,0.000488921,-0.0761649,-0.192411,-0.0742933,-0.280456,-0.0596684
-0.475817,0.00233264,-0.296909,0.0732762,-0.178145,0.0868144,0.348687,0.0475502,0.382368,0.046965,0.368292,-0.0358744,0.320653,-0.03703,0.00455971,-0.0653371,-0.193356,-0.0670536,-0.280332,-0.0516433
-0.463437,-0.000148198,-0.278327,0.0819542,-0.178646,0.090117,0.33581,0.0528947,0.381544,0.0546328,0.373479,-0.0393066,0.333675,-0.0375953,-0.00479233,-0.0789554,-0.203061,-0.072001,-0.296245,-0.0515922
-0.488378,-0.00199359,-0.280516,0.0793625,-0.172182,0.0872267,0.34083,0.0448998,0.373351,0.0471121,0.370072,-0.0350956,0.326384,-0.0343758,0.0101693,-0.0691492,-0.182928,-0.0678185,-0.296803,-0.0501684
-0.505577,0.0114886,-0.283499,0.0795232,-0.179396,0.0884237,0.336307,0.0484111,0.368019,0.0482957,0.361348,-0.0383103,0.333779,-0.0350245,0.0201761,-0.0739354,-0.183007,-0.0714118,-0.268151,-0.0574603
-0.489,0.00272682,-0.298359,0.0794504,-0.166093,0.0917906,0.34057,0.0463979,0.378227,0.0495742,0.363142,-0.0361245,0.326407,-0.0377493,0.0080149,-0.0709311,-0.183545,-0.0686275,-0.279365,-0.0565074
-0.473686,0.00151727,-0.291637,0.0756712,-0.18556,0.0874883,0.344534,0.0469619,0.379752,0.0485239,0.374902,-0.0366172,0.321534,-0.039069,0.0054509,-0.0656581,-0.192691,-0.0659364,-0.282598,-0.0528819
